held_out_event,time_s,slowness_sdeg,power,support_count,branch,abs_dt_vs_full_s,abs_ds_vs_full_sdeg,branch_flip,json_sha256,npz_sha256,s3_npz_uri,s3_json_uri
S0105a,663.75,-3.6363636363636367,1.0123297663708317,22,662-family,0.049999999999954525,0.0,False,67210317576365658328513a5d8788f6bfca5ae57a265a5ac734f9b90f552256,39caa2e59e9a48bbd0134440ebea3dc44f6423e8bf69245ba76b99615b44fb6c,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0105a.npz,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0105a.json
S0173a,663.05,-3.5353535353535355,1.0176135550335526,22,662-family,0.75,0.10101010101010122,False,c7878455b280106e07d0b9952f04adebf394cf921714369983bd70dd7e399fcd,596bc6ceb69640864a9871a4e9cd10ada55b1f8d132a724d1d31740d9e87e49c,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0173a.npz,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0173a.json
S0189a,663.4,0.0,0.9770995126907189,22,662-family,0.39999999999997726,3.6363636363636367,False,04c6d7768bbf8ac1d9d8efa2a929bd02ad692e2fb3fc19e4e01fdc511585ba91,50f358cc8b00e95ceb808e1bf5d0c76ed6d8eac9e62e226c54ed1adbc3ac3443,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0189a.npz,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0189a.json
S0235b,664.0,-3.6363636363636367,0.9842363403789907,22,662-family,0.20000000000004547,0.0,False,b9872b854d79c9df72b5411caf221690dc896c608b7521d00f011658cd46ba78,17031216d648f937dfa71a9d5a71eb09d13e4057a92a3971b8630675b19f1b34,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0235b.npz,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0235b.json
S0290b,663.9,-3.6363636363636367,0.935106008273579,22,662-family,0.10000000000002274,0.0,False,14915b40194ed494594b0347384e3f4a58e945034c37b265dcaaf7efb403f5ba,d5030574755f1dca4c44fba03cce8c7563576c7566311d46cc2b573f04570106,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0290b.npz,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0290b.json
S0325a,602.25,-3.4343434343434343,0.9587304452622245,22,602-family,61.549999999999955,0.20202020202020243,True,4aa10d61bf14f8d6065a0d28c749578aac256a432b5eb016c79d70b662e0f5f3,cf17f73bfb8240bab6e8e0f044658bf74cbe0eb5819a18abd315812c0d41e13a,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0325a.npz,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0325a.json
S0474a,606.35,0.0,0.9342616120675286,22,602-family,57.44999999999993,3.6363636363636367,True,9b1c3fc5202eac48c1da83e83bbeb3f50bd2bb007b0d4a254754baeb7fbd492c,95b54199c5d0ec65c7a67414dca2b698e127612a5fcb6d3f95cc9356d4264677,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0474a.npz,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0474a.json
S0484b,663.25,0.0,0.9830635570016738,22,662-family,0.5499999999999545,3.6363636363636367,False,3611d0908bcc44448c0a5d6557f670ad99fb98c05a0d85721520ce7476a41c82,3f314d71725fb21398b81e06a7ba583e6db4f99dac6e4d34320f630d120b0fa6,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0484b.npz,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0484b.json
S0784a,664.4,-3.6363636363636367,0.9839569543018218,22,662-family,0.6000000000000227,0.0,False,f5d6a9a69247ca6042ea694031ab240030b4186d50188bd3da0423d125fc34f4,93bcb2e9f340c39b0ecb760f363ab9a204da6efea17f20284249b5a027340104,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0784a.npz,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0784a.json
S0802a,663.15,-3.5353535353535355,0.9411455445696376,22,662-family,0.6499999999999773,0.10101010101010122,False,3b171dc5ab9fdbe4399504a580d320c0d2e341756208715d1ec0c8ded771f400,06b62155277babd08af3fc21104b62e0262ddc69abdb5c6ad9fbbd4e770ef299,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0802a.npz,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0802a.json
